full_state_name,State,median_income_2018,pop,pop_21,debt,debt_per_pop21,retail_rev_share_tax,internet_rev_share_tax,state_run_sportsbook,state_of_play,reporting_data_url,alt_reporting_data_url
Alabama,AL,49936,"4,903,185",3608467,10700000000,2965.248123,,,,,,
Alaska,AK,68734,"731,545",523018,6400000000,12236.67254,,,,,,
Arizona,AZ,62283,"7,278,717",5332094,13800000000,2588.10141,,,,,,
Arkansas,AR,49781,"3,017,804",2192034,7900000000,3603.958698,,,,,,
California,CA,70489,"39,512,223",29044071,1.44E+11,4951.096559,,,,,,
Colorado,CO,73034,"5,758,736",4279893,21400000000,5000.125003,0.04,0.04,0,"retail and internet, competitive mrkt, no NCAA prop bets allowed",https://www.colorado.gov/pacific/enforcement/sports-betting-colorado,
Connecticut,CT,72812,"3,565,287",2685230,44900000000,16721.10024,,,,,,
DC,DC,85750,"973,764",544046,0,0,,,1,"retail and internet, state sponsored internet with privately run retail (William Hill) sportsbook",https://www.dclotterysportsbetting.com/operating-sports-betting/financials/,https://dclottery.com/about-us/newsroom/dc-lottery-sports-wagering-monthly-revenue-report-december-2020
Delaware,DE,65012,"705,749",729636,4800000000,6578.622765,0.5,0.5,0,"retail only, 3 casino licenses, unrestricted wagering",https://www.delottery.com/Sports-Lottery/Monthly-Net-Proceeds,
Florida,FL,54644,"21,477,737",16467996,24100000000,1463.444611,,,,,,
Georgia,GA,55821,"10,617,423",7645283,14400000000,1883.514319,,,,,,
Hawaii,HI,80108,"1,415,872",1069806,10400000000,9721.388738,,,,,,
Idaho,ID,58728,"1,787,065",1266533,3400000000,2684.493811,,,,,,
Illinois,IL,70145,"12,671,821",9356390,62900000000,6722.678298,0.17,0.15,0,"retail and internet, competitive mrkt, no wagering on an in-state NCAA team",,
Indiana,IN,59892,"6,732,219",4871760,23400000000,4803.192275,0.095,0.095,0,"retail and internet, competitive mrkt, unrestricted wagering",,
Iowa,IA,68718,"3,155,070",2294466,6100000000,2658.570665,0.0675,0.0675,0,"retail and internet, competitive mrkt, unrestricted wagering",,
Kansas,KS,63938,"2,913,314",2082728,8600000000,4129.19978,,,,,,
Kentucky,KY,54555,"4,467,673",3277406,16700000000,5095.493204,,,,,,
Louisiana,LA,49973,"4,648,794",3371916,16600000000,4923.017062,,,,,,
Maine,ME,58663,"1,344,212",1049640,4700000000,4477.725696,,,,,,
Maryland,MD,86223,"6,045,680",4476458,30900000000,6902.778938,,,,,,
Massachusetts,MA,86345,"6,892,503",5236619,80200000000,15315.22534,,,,,,
Michigan,MI,60449,"9,986,857",7428907,30000000000,4038.279117,0.084,0.084,0,"retail only now with internet coming soon, unrestrictive wagering","https://www.michigan.gov/mgcb/0,4620,7-351-79127_82898-244408--,00.html",
Minnesota,MN,71817,"5,639,632",4122678,18200000000,4414.606234,,,,,,
Mississippi,MS,42781,"2,976,149",2131424,7300000000,3424.940322,0.115,0.115,0,"retail and internet but only at casino, unrestricted wagering",http://www.msgamingcommission.com/reports/monthly_reports,
Missouri,MO,61726,"6,137,428",4522768,16000000000,3537.656586,,,,,,
Montana,MT,57679,"1,068,778",798199,2600000000,3257.333071,,,,,,
